product,title,date,rating,body
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray","Fast, lightweight beauty","Reviewed in the United States on April 27, 2023",5.0,Perfect for my daughter who is a student.
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",The answer is YES!,"Reviewed in the United States on April 27, 2023",5.0,"After 40 years of using (and building) PCs, I switched to an 27 inch iMac. I needed better accessibility features than Windows could provide. The chance was easier than I anticipated and I've found no reason to use Windows emulators. In the past, I've enjoyed the convenience of having a laptop. But I just couldn't see them well enough anymore. So I took a leap of faith spurred on by a great Amazon Deal at $799.Setup was very easy.. it just cloned everything on my iMac that I wanted to transfer over.  The screen is bright and easy to see even for me. The keyboard feels good and the trackpad works well. There's a fingerprint ID to unlock it... very convenient.This is the M1 MacBook Air. I purchased it shortly after the M2 MacBook Air came out. It was 18 months old but that's what provided the exceptional price. The M2 based MacBook would be faster and offered MagSafe charging, and a brighter display. There were also several handy ports lacking on the M1 model. But the M2 has an overheating problem that the M1 doesn't. I didn't think these features were work several hundred more dollars.This M1 MacBook is fast enough and has reasonably good battery life. But there are a few drawbacks that I was aware of before I made the purchase:The only ports are a headphone jack and two Thunderbolt connectors. To solve this issue, I bought a small dock.You're buying the base model with a 128g solid state drive. This is less than ideal but there are workarounds. First, you can purchase an inexpensive drive (solid state if possible) and offload some things to that drive. Another option is to upgrade your iCloud storage to 50gb for .99 cents a month.Is this a good deal? The answer is YES!"
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Great laptop,"Reviewed in the United States on April 27, 2023",5.0,"We are big fans of Apple products, especially their laptops. I was looking for a low cost upgrade from an old 15” 2013 MacBook Pro that lasted a very long time. This M1 MacBook Air was a perfect replacement, especially on a Black Friday sale. It’s incredibly fast for all we use it for, and has a good battery life. Much more portable than the old laptop we came from. Overall, it got me up to modern day technology without spending for the latest and greatest. very happy!"
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Gotta love Amazon!!!,"Reviewed in the United States on April 27, 2023",5.0,Honestly… I have twins and bought them both this as a graduation gift from high school to have in college and could not afford to just outright buy two but Amazon came to our rescue and we made extremely affordable payments! Thank you Amazon!!! The twins love them!!!
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Laptop,"Reviewed in the United States on April 27, 2023",5.0,Ordered this for my granddaughter to use for her college classes.  She was very pleased with it when it arrived.  Would definitely order again.  Very nice product.
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Excellent,"Reviewed in the United States on April 27, 2023",5.0,This laptop was renewed and arrived in excellent condition. It looks brand new and is working great!
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Performance,"Reviewed in the United States on April 27, 2023",5.0,Very satisfied. Looks great. Works great.
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",My first Mac is great,"Reviewed in the United States on April 27, 2023",5.0,"Intuitive, easy to use"
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Outstanding,"Reviewed in the United States on April 27, 2023",5.0,"I bought this 2020 MacBook Air (8 GB RAM, 256 GB SSD storage) to replace a 2014 MacBook Air (4GB RAM, 256 GB SSD storage).  I am undeniably a fan of Apple products in general, because they work with little fuss and are built to last (note that my old MacBook Air is more than 7 years old and still working perfectly).  Although I've been underwhelmed by some Mac models in recent years, this one is stellar IMHO.  Unless you have very heavy system requirements this machine would be an excellent choice.The M1 processor is very impressive, delivering outstanding performance and power/thermal efficiency simultaneously.  Battery life is every bit as good as advertised; I can charge overnight and use it all day without plugging in.  Connecting USB devices such as external drives will shorten battery life, but that's to be expected.  I love the fanless design, which means the machine is absolutely silent at all times, while the thermal efficiency of the M1 chip allows it to remain amazingly cool.  In use, this computer feels very fast, especially with apps optimized for Apple processors (as MacOS Big Sur is).  Interestingly, Microsoft has been on board early with M1 optimization; the latest Office 365 version is smooth and fast on this machine.  I also tried out MS Edge on my new laptop based on a recommendation from another user and have been so pleased with its speed and efficiency that it's my current default browser.  The touch ID and Apple Pay capability is a welcome addition.The only cons I see are minor in my opinion.  Because RAM is integrated into the M1 processor, post-purchase memory expansion is not possible; if you think you'll need 16 GB of memory that model can be had from the Apple Store.  There has been criticism of the fact that this machine has only two ports, which is fair.  For me that's not insurmountable; I simply use a USB-C hub to provide additional connectivity.  I've read recently that some users have had certain hubs cause problems with their M1 Macs, which appears to be related to battery charging through these hubs.  To be on the safe side I use a built-in port for charging and have had no issues.Reading through the relative handful of critical reviews, it looks to me like most (excluding actual defects, which happen with all products) are based on lack of understanding.  For example, I saw a large number of reviews complaining that this machine ""has NO USB PORTS!!!"", which is patently false.  In fact, its two ports are both USB, they just require a different connector.  What these users are looking for is the old USB-A connectors, which this MacBook does not have; however, that's easily fixed by using a USB-A to USB-C converter cable, or with a USB-C hub.  USB-A peripherals are gradually disappearing as well, in favor of the new connector.All things considered, I really love this machine.  The $899 price (at the time I bought mine) was $100 less than I would have paid at the Apple Store, and I believe I can probably get $200 on eBay for my old MacBook Air (try that with a 7-year-old PC!) leaving me with a total outlay of $699.  Considering that I'll almost certainly get 5 or more years use out of this model, I'm very happy with my purchase and would do it again."
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Good laptop,"Reviewed in the United States on April 27, 2023",5.0,Very nice
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Macbook,"Reviewed in the United States on April 14, 2023",5.0,Needs better charging ports
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Great for creators.,"Reviewed in the United States on April 14, 2023",5.0,"The only regret is not doing enough research first. My needs call for a Pro. I push this computer to the max, but it’s still faster than Windows."
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",It's a MacBook,"Reviewed in the United States on April 14, 2023",5.0,"I'm no tech expert. The last laptop I owned was a 2015 MacBook Pro (13-inch), which I used daily until the battery became too weak to hold a charge for more than a couple of hours. That's normal after you've gone through the standard 1000 recharge cycles and seven years of use. It served me well.I pretty much only use this thing to write Amazon reviews and so far it's doing the job well. I will say the Air is the lowest model of the MacBooks and I bought the 2020 M1 model rather than the newest one available for 2022. Going from a 2015 Pro, I noticed this machine is noticeably stronger in performance. It's also lighter and quieter because it has no cooling fans (doesn't really heat up so it doesn't need them).My only real complaint I'll say at this point is the lack of ports. You get two USB-C ports and a regular headphone jack. I'm glad they at least decided to keep the headphone jack. So you'll most likely need to buy a dongle or some adapter to expand your ports which then makes the laptop clunky and less portable.I'll finish with this - if you don't know the pros and cons of buying an Apple vs non-Apple (usually Windows-based) laptop, definitely look that up. There are basics you should know like Apple is not gaming-friendly and installing software in their OS vs Windows is quite different."
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray","Exceptional little laptop, with incredible battery life.","Reviewed in the United States on April 14, 2023",4.0,"It’s been a few years since I’ve purchased a MacBook as I have anas I have been using windows laptops the past seven or eight years. My intent for using this one was for a consulting business I am a part of doing teaching presentations, etc. I wanted something that was small and traveled easy but also durable. Using this was a pleasure from the keyboard to the color and clarity of the screen. It feels good in the hand and seems like a very premium and quality product  I use this laptop for a job one day recently and literally at full brightness for around 8 1/2 hours on its battery. What I found is I liked it so much that I added more applications to make this my daily laptop but the standard 8 GB it came with just wasn’t enough. I was getting RAM full warnings at least once or twice a day. I have since given this laptop to my wife who had a 2011 Air and have purchased a new 16 GB M2 version for myself. As nice and robust, and as good looking as this laptop, is I highly recommend it but if you think for a moment that you might need extra ram, go ahead and bump up to the next level. in my opinion, this is the best $1000 laptop on the market with the best battery life and quality overall."
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Laptop,"Reviewed in the United States on April 14, 2023",5.0,Love it
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray","Apple quality, but not new as advertised","Reviewed in the United States on April 14, 2023",4.0,"I was very surprised to open the package and find that the box for the Apple MacBook was literally taped shut and there was a sticker saying “thanks to you this product has a second life“. The laptop itself seems unused and works perfectly as expected. I would like Amazon to explain the packaging in the sticker, because this has definitely been opened before."
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Love the lightness,"Reviewed in the United States on April 14, 2023",5.0,I love it!! I’m so glad I got this one. Love the lightness.
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",Wonderful so far!,"Reviewed in the United States on April 14, 2023",4.0,"The media could not be loaded.
                



 I’ve really been wanting a laptop and I use apple products. I’ve heard great things about MacBooks in the past.  I enjoy it for writing college papers, internet searches, iMessage while I’m using it and not my phone is helpful for receiving messages, emailing for school and work. It doesn’t have a lot of games that download from my iPhone 13, but that would be my only complaint. Pretty sure Apple moved away from downloading each app separately like Facebook, Instagram, YouTube and has one app called ‘finder’ . I would recommend to a friend this MacBook Air."
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",amazing,"Reviewed in the United States on April 14, 2023",5.0,its everything that i expected
"Amazon.com: Customer reviews: Apple 2020 MacBook Air Laptop M1 Chip, 13&#34; Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",One thing I didn’t like,"Reviewed in the United States on April 14, 2023",4.0,The Apple logo on the back doesn’t light up.
